"estrato","upm","factor","programa","ingreso","score"
"Alta","A1",1500,1,3251,45
"Alta","A1",1500,1,4951,39
"Alta","A1",1500,1,4070,48
"Alta","A1",1500,0,4169,32
"Alta","A1",1500,1,3685,43
"Alta","A1",1500,1,4449,35
"Alta","A1",1500,1,4442,52
"Alta","A1",1500,1,961,44
"Alta","A1",1500,1,6801,55
"Alta","A1",1500,0,5705,44
"Alta","A2",1500,0,4361,39
"Alta","A2",1500,1,5834,62
"Alta","A2",1500,1,4977,58
"Alta","A2",1500,0,2750,41
"Alta","A2",1500,1,4953,59
"Alta","A2",1500,1,2850,56
"Alta","A2",1500,1,2351,47
"Alta","A2",1500,1,5254,53
"Alta","A2",1500,1,2281,48
"Alta","A2",1500,1,4547,57
"Alta","A3",1500,1,3284,49
"Alta","A3",1500,1,2735,57
"Alta","A3",1500,1,2596,44
"Alta","A3",1500,1,500,51
"Alta","A3",1500,1,2624,43
"Alta","A3",1500,1,500,61
"Alta","A3",1500,1,4762,53
"Alta","A3",1500,1,1528,47
"Alta","A3",1500,1,3255,53
"Alta","A3",1500,1,3812,42
"Alta","A4",1500,1,8027,37
"Alta","A4",1500,1,9885,45
"Alta","A4",1500,1,3326,50
"Alta","A4",1500,1,8474,40
"Alta","A4",1500,0,5551,32
"Alta","A4",1500,1,7735,36
"Alta","A4",1500,1,3527,49
"Alta","A4",1500,1,5872,46
"Alta","A4",1500,1,4825,34
"Alta","A4",1500,1,5528,52
"Alta","A5",1500,1,1948,47
"Alta","A5",1500,1,1824,40
"Alta","A5",1500,1,4003,43
"Alta","A5",1500,1,5679,47
"Alta","A5",1500,1,643,50
"Alta","A5",1500,0,5105,33
"Alta","A5",1500,1,5444,60
"Alta","A5",1500,1,2593,47
"Alta","A5",1500,1,3592,42
"Alta","A5",1500,1,500,46
"Alta","A6",1500,1,5122,49
"Alta","A6",1500,1,1925,46
"Alta","A6",1500,0,5587,37
"Alta","A6",1500,1,2486,50
"Alta","A6",1500,1,4352,39
"Alta","A6",1500,1,5013,40
"Alta","A6",1500,1,4205,43
"Alta","A6",1500,1,1510,45
"Alta","A6",1500,1,3886,52
"Alta","A6",1500,1,4352,38
"Alta","A7",1500,1,2304,55
"Alta","A7",1500,1,2101,50
"Alta","A7",1500,1,1659,63
"Alta","A7",1500,1,4003,56
"Alta","A7",1500,1,1967,61
"Alta","A7",1500,0,2792,46
"Alta","A7",1500,1,2895,58
"Alta","A7",1500,0,500,53
"Alta","A7",1500,1,3208,59
"Alta","A7",1500,1,4942,57
"Alta","A8",1500,1,2298,51
"Alta","A8",1500,1,608,50
"Alta","A8",1500,0,1421,43
"Alta","A8",1500,1,3050,63
"Alta","A8",1500,1,2340,48
"Alta","A8",1500,1,3676,58
"Alta","A8",1500,1,2644,50
"Alta","A8",1500,1,500,52
"Alta","A8",1500,0,2553,41
"Alta","A8",1500,1,5639,58
"Alta","A9",1500,0,3749,49
"Alta","A9",1500,1,4469,53
"Alta","A9",1500,0,6640,51
"Alta","A9",1500,1,4060,43
"Alta","A9",1500,1,3704,60
"Alta","A9",1500,1,5652,59
"Alta","A9",1500,1,5964,69
"Alta","A9",1500,1,4548,58
"Alta","A9",1500,1,5532,57
"Alta","A9",1500,1,5660,64
"Alta","A10",1500,1,4656,52
"Alta","A10",1500,1,6132,54
"Alta","A10",1500,1,4501,46
"Alta","A10",1500,1,4945,49
"Alta","A10",1500,1,7394,49
"Alta","A10",1500,1,4148,44
"Alta","A10",1500,0,4760,40
"Alta","A10",1500,0,7352,50
"Alta","A10",1500,1,4586,55
"Alta","A10",1500,0,4269,36
"Alta","A11",1500,1,3326,42
"Alta","A11",1500,1,3782,56
"Alta","A11",1500,0,2708,37
"Alta","A11",1500,1,5457,56
"Alta","A11",1500,1,6567,45
"Alta","A11",1500,1,2096,56
"Alta","A11",1500,0,4647,42
"Alta","A11",1500,1,5297,49
"Alta","A11",1500,1,4199,55
"Alta","A11",1500,1,3289,46
"Alta","A12",1500,1,2196,38
"Alta","A12",1500,0,2315,26
"Alta","A12",1500,1,2155,42
"Alta","A12",1500,1,5943,42
"Alta","A12",1500,1,4290,54
"Alta","A12",1500,1,4357,53
"Alta","A12",1500,1,500,61
"Alta","A12",1500,1,2885,51
"Alta","A12",1500,0,5192,38
"Alta","A12",1500,1,5539,60
"Alta","A13",1500,0,5187,46
"Alta","A13",1500,1,3857,62
"Alta","A13",1500,1,3812,50
"Alta","A13",1500,1,3999,51
"Alta","A13",1500,1,5706,59
"Alta","A13",1500,1,5138,58
"Alta","A13",1500,0,3486,51
"Alta","A13",1500,0,6044,44
"Alta","A13",1500,1,5893,58
"Alta","A13",1500,1,5874,61
"Alta","A14",1500,1,1417,64
"Alta","A14",1500,1,1935,63
"Alta","A14",1500,1,4625,64
"Alta","A14",1500,1,500,62
"Alta","A14",1500,1,500,63
"Alta","A14",1500,1,1005,52
"Alta","A14",1500,1,4550,73
"Alta","A14",1500,1,4284,59
